id,context,question,answer_label_idx,label_A,label_B,label_C,label_D
10-445,biofuel releases carbon dioxide into the atmosphere,"An environmentalist heats their home by using a corn stove. The environmentalist knows that heating this way releases carbon dioxide back into the air, but is unworried about is as a result of",0,it promoting plant growth,corn is too dangerous,corn is actually evil,corn grows under the water
10-446,temperature changing can cause phase changes,melting ice may be formed by,1,the moon,temp change,an iceberg,a reaction
10-447,"as the size of an object appears larger , that object will be observed better",A magnifying glass makes objects,0,more clear,smaller,spontaneous combust,physically grow
10-449,exercise has a positive impact on a body 's strength,positively impact your bodies strength by,0,dead-lifting,thinking,sleeping,singing
10-450,a stem is a source of support for a plant,You might support a growing tomato plant with,0,yard stick,a bench,a flashlight,candy
10-452,"as temperature increases , the ability of that liquid to dissolve solids will increase",Salt dissolves better in a pot of water after,1,drowning in the Atlantic ocean,setting the burner to maximum,setting the burner to minimum,gargling salt-water in the shower
10-453,humans changing animal habitats usually causes harm to those animals,A construction team is building a business center where a park used to be. The change in the park will,3,cause animals to play,cause animals to celebrate,cause animals to marry,cause animals to suffer
10-454,meadow voles eat plants,Meadow vales are,1,carnivores,hard of hearing,very large,potatoes
10-455,humans changing an environment sometimes causes that environment to be destroyed,There are many protests and outraged people about humans changing the environment of the rain forest because changing even something small in an environment can,0,wreck it,make it cry,make it laugh,do nothing
10-461,a trunk is a source of support for a tree,"A tree must depend upon, for its support",0,A large fibrous mass,plants on the forest floor,the wooden welfare state,massive redwoods on the backs of turtles
10-462,explosions can cause harm to an organism,Explosions destroy,1,Air,communities,darkness,Sunlight
10-463,calculating speed requires knowing distance travelled,A guy wants to figure out how fast makes it to work every day so he looks up,3,how wide the road is,how tall the building is,how the weather is,the space between destinations
10-465,a light bulb converts electrical energy into light energy when it is turned on,An example of an electrical circuit could be,0,Dimming the lights,Driving a car,Drinking water,Riding a bike
10-466,sediment is formed by weathering,A tiny sand particle came from,3,another world,boiling water,candle fragments,larger mineral chunks
10-467,"as ability to transport food increases around the world , the available types of food in distant locations will increase",A thousand new trucks are put on the road carrying produce. As a result,3,distant cities burn down,things stay the same,distant locations build quarries,distant locations have greater produce options
10-468,In the food chain process some types of plankton have the role of producer,Palm trees use the sun to,1,swim,eat,sleep,run
10-469,a seismograph is a kind of tool for measuring the size of an earthquake,Tectonic expression can give massive amounts of data to a,0,seismograph,lie detector,geiger counter,glass of water
10-470,metal is an electrical energy conductor,what is an electrical energy conductor?,3,plastic,stone,plants,swords
10-472,mountains are formed by volcanoes,"A mountain is shoved skyward one day, so there must have been",1,a clone,an emission,a flood,a mistake
10-473,rain is a source of water,Rain helps,1,candy,communities thrive,cooking,bread
10-475,water flows down a slope,Rain at the apex of a pyramid will end up,2,on your shoes,on the side,at the footing,at the top
10-479,a windmill converts wind energy into electricity,a windmill converts wind energy into,3,food,music,architecture,charged electrons
10-480,a plant requires sunlight for photosynthesis,"If a plant is going to photosynthesize, it can have all aside from",2,water,sunlight,cake,soil
10-481,dissolving a substance in water causes the water to taste like that substance,A person has a glass of water and a friend pranks them by making their water taste different. They prankster added,2,ice,water,soda,air
10-482,recyclable means a material can be recycled,A green container with white arrows in a circle indicate it's a receptacle for,0,trash that can be used for a new purpose,excess and unused portions of soylent green,radioactive nuclear waste materials,hazardous biological materials and waste
10-483,scavengers eat dead organisms,A dead skunk in the middle of the road would be most appealing to,2,a giraffe,a politician,a vulture,a whale
10-484,a living thing requires nutrients to grow,In order to grow as a child I should have,3,cake,cheese,candy,spinach
10-485,a flashlight converts chemical energy into light energy,A flashlight converts chemical energy into what kind of energy?,3,light snacks,greens,food,illumination
10-486,rocks often contain large amounts of metal,rocks often contain large amounts of,2,milk,cheese,aluminium,honey
10-487,waxy leaves are used for storing water by some plants,"I just read about using cardboard in layers for building, but the surfaces should be waxed to keep out water.  This premise is used by some _____________ to keep water in:",2,balloons,plastic bottles,leaves,books
10-489,an landfill is a source of pollution,Pollution is extremely difficult to contain in a,0,refuse facility,greenhouse,the white house,capital building
10-490,a Rotation of the Earth on itself takes one day,"The Earth is going to be completing a full rotation. A child notes this, and knows that it means that",3,a cloud is going to rain,the moon is in the sky,a day has passed on Jupiter,"the sun rose, set and rose again"
10-491,painting an object a color causes that object to be that color,"A person paints a white door a different color, so the door is probably now",1,still white,grey,white,clear
